DT,TICKERS,WGT,PX,DIVIDEND,LEVERAGE,PRICEMO,RETURNVOL,MCAP,EY,RtnM,GICS
01/29/2010,291 HK,0.588117,23.465,1.5234,0.1632,41.52,47.001,61335.25,4.5654,-0.097013777,30201010
01/29/2010,293 HK,0.289733,12.8,NA,0.5565,6.96,43.644,50353.2032,9.3186,-0.116022099,20302010
01/29/2010,3 HK,1.275881,7.201,2.0612,0.1678,-0.27,26.395,110868.9367,4.7474,-0.129262394,55102010
01/29/2010,330 HK,1.25249,50.754,2.6921,0,-3.84,51.956,70466.0058,6.5386,0.064739448,25504010
01/29/2010,3328 HK,2.094213,6.806,2.878,NA,-13.15,41.714,422930.7681,8.807,-0.124292331,40101010
01/29/2010,386 HK,1.966505,4.7,2.9711,0.2015,-10.48,39.503,1010740.616,13.6608,-0.115710254,10102010
01/29/2010,388 HK,2.730851,132.3,2.7513,0,-2.18,44.22,142379.9777,3.3112,-0.050932568,40203040
01/29/2010,3988 HK,5.467764,3.596,3.9311,NA,-3.59,40.177,1114295.029,9.2031,-0.107027564,40101010
01/29/2010,4 HK,1.019409,14.057,5.5185,0.2974,NA,50.223,106299.0473,48.213,-0.13744861,60102010
01/29/2010,494 HK,1.804856,14.609,2.0192,0.0295,32.52,57.156,134472.2902,3.1155,0.10381564,25203010
01/29/2010,5 HK,14.886108,83.6,3.1526,NA,14.41,57.259,1455325.945,NA,-0.064876957,40101010
01/29/2010,6 HK,1.156112,43.45,4.8562,0.1226,-10.36,17.469,92733.6717,7.2216,0.029620853,55101010
01/29/2010,66 HK,0.693506,25.25,1.901,0.2011,-8.76,27.973,144630.8781,6.6892,-0.057835821,20304010
01/29/2010,688 HK,1.090507,13.754,1.0179,0.2089,-21.87,46.821,113712.8062,6.6556,-0.151197235,60102030
01/29/2010,700 HK,2.789339,29.037,0.1722,0.0009,46.88,44.351,264641.8709,2.2413,-0.138291243,50203010
01/29/2010,762 HK,1.191717,8.79,2.581,0.2932,-21.75,45.62,207110.7869,5.202,-0.144941634,50101020
01/29/2010,83 HK,0.603749,11.709,3.1056,0.1622,-8.98,52.321,62919.3912,8.0642,-0.147009543,60102030
01/29/2010,836 HK,0.541844,15.08,0.9189,0.4416,-24.22,39.973,70626.1418,7.8849,-0.023316062,55105010
01/29/2010,857 HK,3.561161,8.8,3.5315,0.0941,-2.22,39.627,2594584.658,7.2725,-0.055793991,10102010
01/29/2010,883 HK,3.783436,11.04,3.6232,0.0467,9.86,44.213,493147.9594,6.8249,-0.095081967,10102020
01/29/2010,939 HK,7.73132,5.801,1.5865,NA,-5.21,39.924,1401476.715,8.6495,-0.103400309,40101010
01/29/2010,941 HK,8.513013,73.75,3.7288,0.0314,-13.4,34.037,1479499.182,8.8569,0.012354152,50102010
01/29/2016,1 HK,4.070521,96.35,3.8568,0.4314,9.05,24.169,371879.9753,13.152,-0.078871893,20105010
01/29/2016,101 HK,0.500077,14.26,5.2595,0.4582,-11.74,27.675,64129.7266,NA,-0.191609977,60102010
01/29/2016,1044 HK,0.861185,66.907,3.1387,0.202,NA,27.132,84292.1213,4.6809,-0.054652066,30302010
01/29/2016,1088 HK,0.617523,11.62,7.9604,0.2771,NA,39.206,301144.0164,9.0457,-0.045977011,10102050
01/29/2016,11 HK,1.536613,128.5,4.358,NA,8.21,21.276,245671.7964,11.1943,-0.128813559,40101010
01/29/2016,1109 HK,0.821072,18.94,2.6241,0.4711,6.91,46.853,131271.9932,13.1826,-0.161946903,60102030
01/29/2016,1113 HK,1.759597,41.65,0.8403,0.3318,-13.23,NA,160755.5878,10.6571,-0.173611111,60102030
01/29/2016,12 HK,0.651199,31.555,2.5498,0.2828,3.06,28.65,138882.7617,13.9872,-0.115784459,60102010
01/29/2016,1299 HK,8.072077,42.85,1.2303,0.0886,7.59,28.765,516271.7808,4.1212,-0.080472103,40301020
01/29/2016,135 HK,0.292341,5.79,3.4542,0.3064,2.54,44.666,46739.1389,NA,-0.160869565,10102040
01/29/2016,1398 HK,4.649037,4.03,7.9118,NA,NA,28.083,1658647.038,22.7783,-0.138888889,40101010
01/29/2016,144 HK,0.427059,21.25,3.6235,0.2663,-6.22,38.468,55222.6956,NA,-0.137931034,20305030
01/29/2016,151 HK,0.574106,5.08,2.7771,0.1515,-20.61,29.454,65148.465,NA,-0.119584055,30202030
01/29/2016,16 HK,2.071846,83.8,3.9976,0.2655,-10.24,23.402,242465.663,12.5248,-0.104700855,60102010
01/29/2016,17 HK,0.531677,6.3,6.6667,0.8042,-9.23,26.227,58381.6939,29.4784,-0.177545692,60102010
01/29/2016,1880 HK,0.548641,5.2,8.317,0.1318,NA,43.3,43858.0137,13.4794,-0.10652921,25203020
01/29/2016,19 HK,0.690319,75,5.2267,0.3222,-1.61,20.661,109164.5807,11.8992,-0.139908257,60102010
01/29/2016,1928 HK,1.014409,26.8,7.4254,0.1133,-6.15,47.292,216257.2609,5.2526,0.009416196,25301010
01/29/2016,2 HK,1.928867,65.1,4.0707,0.2477,22.02,14.214,164471.9395,9.5263,-0.011389522,55101010
01/29/2016,23 HK,0.50945,22.65,4.6799,NA,-6.1,25.754,59817.0242,8.1728,-0.214904679,40101010
01/29/2016,2318 HK,2.849111,34.95,1.5195,0.7517,NA,36.681,647395.8875,10.0685,-0.187209302,40301020
01/29/2016,2319 HK,0.46112,10.74,1.6295,0.2936,NA,38.129,42108.4197,7.6865,-0.150316456,30202030
01/29/2016,2388 HK,1.186206,20.5,5.4634,NA,NA,30.71,216741.9956,10.8838,-0.135021097,40101010
01/29/2016,2628 HK,2.185175,18.78,2.6684,0.1791,-14.21,40.11,643718.3328,7.7145,-0.250299401,40301020
01/29/2016,267 HK,1.244096,10.94,2.7422,1.4171,8.84,28.135,318247.4632,NA,-0.202623907,20105010
01/29/2016,27 HK,0.881968,24.1,NA,0.0144,-18.1,51.222,102683.7573,4.0554,-0.014314928,25301010
01/29/2016,291 HK,0.23399,11.329,1.2945,0.1494,-25.33,87.132,30073.5185,NA,-0.255454784,30201010
01/29/2016,293 HK,0.224768,12.18,4.2693,0.6972,-16.33,26.932,47914.2199,NA,-0.092399404,20302010
01/29/2016,3 HK,1.477608,10.233,2.4162,0.1773,13.09,15.934,157460.1018,4.637,-0.103940455,55102010
01/29/2016,322 HK,0.269902,8.8,3.1466,0.2764,-21.97,36.926,49305.2699,NA,-0.204339964,30202030
01/29/2016,3328 HK,0.644652,4.71,7.1623,NA,NA,32.47,413548.2225,22.662,-0.137362637,40101010
01/29/2016,386 HK,1.641079,4.33,5.7038,0.3143,-12.83,35.3,606051.4373,NA,-0.074786325,10102010
01/29/2016,388 HK,3.02064,170.3,3.0711,0.0326,-0.59,42.41,205813.6808,NA,-0.142065491,40203040
01/29/2016,3988 HK,3.776316,3.04,7.8036,NA,-11.61,30.745,1057788.766,22.8965,-0.121387283,40101010
01/29/2016,4 HK,0.76781,13.52,13.3873,0.4265,-5.4,27.676,109116.9844,39.1344,-0.162796458,60102010
01/29/2016,494 HK,0.408985,4.44,7.6577,0.2262,-4.46,32.589,37364.5859,NA,-0.157495256,25203010
01/29/2016,5 HK,9.967415,54.5,7.1144,NA,1.16,21.261,1072894.132,9.7575,-0.119547658,40101010
01/29/2016,6 HK,1.533662,70.7,3.8048,0.1021,23.04,20.952,150892.3035,5.1289,-0.008415147,55101010
01/29/2016,66 HK,0.801424,35.1,2.9915,0.14,30.16,20.536,205623.8038,6.3297,-0.0859375,20304010
01/29/2016,688 HK,1.43153,22.4,2.4554,0.6612,13.7,41.816,220877.0156,NA,-0.176470588,60102030
01/29/2016,700 HK,10.61293,144.887,0.2485,0.0575,19.27,31.841,1362628.563,NA,-0.049840314,50203010
01/29/2016,762 HK,0.800401,8.55,2.9227,0.4924,-2.04,36.615,204747.5514,NA,-0.095238095,50101020
01/29/2016,823 HK,1.589329,44.35,4.3353,0.2263,22.85,20.728,99758.6119,NA,-0.044181034,60101070
01/29/2016,83 HK,0.470087,9.88,5.0607,0.1081,5.14,28.496,60448.8358,15.8437,-0.13028169,60102030
01/29/2016,836 HK,0.392645,13.08,6.1162,0.564,-15.25,39.977,62878.2233,NA,-0.132625995,55105010
01/29/2016,857 HK,1.567121,4.75,4.1262,0.2801,-27.84,37.399,1530486.377,NA,-0.06496063,10102010
01/29/2016,883 HK,2.200554,7.88,7.2335,0.4565,-8.08,44.872,351821.9614,NA,-0.02354399,10102020
01/29/2016,939 HK,6.223633,4.73,7.9466,NA,-6.79,27.034,1191812.716,NA,-0.109227872,40101010
01/29/2016,941 HK,8.231422,85.7,3.3897,0.0115,6,29.616,1754748.844,NA,-0.020571429,50102010
01/29/2016,992 HK,0.776805,6.88,3.8517,0.2778,-5.4,44.142,76427.5416,NA,-0.125794155,45202030
01/30/2014,101 HK,0.682238,21.55,3.4803,0.3369,-11.56,25.542,96520.1982,7.4664,-0.120408163,60102010
01/30/2014,1044 HK,0.948764,81.072,2.2203,0.1876,0.67,27.873,103251.6126,3.7866,-0.084604528,30302010
01/30/2014,1088 HK,0.963297,20.05,6.0409,0.2321,-5.79,33.054,360528.8969,14.4718,-0.1799591,10102050
01/30/2014,11 HK,1.313519,121.5,4.3621,NA,-0.66,15.139,232288.897,NA,-0.033412888,40101010
01/30/2014,1109 HK,0.52736,18.28,1.8928,0.4395,NA,34.843,106583.8964,14.0046,-0.048907388,60102030
01/30/2014,1199 HK,0.245295,9.93,3.716,0.4391,NA,27.722,28919.3916,7.9617,-0.066729323,20305030
01/30/2014,12 HK,0.558206,25.955,2.3749,0.3113,-14.88,21.607,112818.0367,NA,-0.055357403,60102010
01/30/2014,1249772D HK,2.257295,114.9,2.7937,NA,4.58,19.58,266127.2788,NA,-0.06127451,60102030
01/30/2014,1299 HK,6.086878,35.75,1.0797,0.0672,1.14,21.59,430573,5.0898,-0.080976864,40301020
01/30/2014,13 HK,2.903506,96.35,2.2107,0.3559,13.9,19.692,410775.7578,NA,-0.085863378,20105010
01/30/2014,135 HK,0.587209,12.88,1.7857,0.2205,1.91,31.86,103844.8742,6.7022,-0.057101025,10102040
01/30/2014,1398 HK,4.721422,4.81,6.2955,NA,-6.49,24.621,1573351.698,19.9798,-0.082061069,40101010
01/30/2014,144 HK,0.424342,26.4,2.6515,0.2759,7.56,31.839,66704.6145,6.3571,-0.067137809,20305030
01/30/2014,151 HK,1.077476,10.48,2.3464,0.0736,-3.09,30.36,138578.872,3.909,-0.064285714,30202030
01/30/2014,16 HK,1.812255,94.8,3.5338,0.2245,-10.21,17.367,256390.2972,NA,-0.036095577,60102010
01/30/2014,17 HK,0.530134,9.131,4.3299,0.6692,-16.18,25.505,62501.0027,NA,-0.00922309,60102010
01/30/2014,1880 HK,0.549541,8.38,2.4173,NA,-22.74,43.108,70678.8759,NA,-0.065774805,25203020
01/30/2014,1898 HK,0.225252,3.88,6.8355,0.5926,-5.62,37.618,66934.9759,9.3778,-0.110091743,10102050
01/30/2014,19 HK,0.750959,83.8,4.1766,0.2871,-11.18,16.5,123930.8059,NA,-0.078107811,60102010
01/30/2014,1928 HK,2.046635,59.85,2.5564,0.0517,47.72,32.429,482582.1518,3.5661,-0.055248619,25301010
01/30/2014,2 HK,1.569703,58.6,4.3857,0.3702,-10.66,10.953,148050.0101,4.0915,-0.044045677,55101010
01/30/2014,23 HK,0.571909,29.45,3.5993,NA,4.16,19.472,67426.0842,NA,-0.103500761,40101010
01/30/2014,2318 HK,1.808918,31.45,1.0056,0.7853,25.58,27.252,436856.8085,7.2442,-0.094312455,40301020
01/30/2014,2388 HK,1.234574,23.6,5.2458,NA,-5.44,16.787,249517.6145,8.9178,-0.050301811,40101010
01/30/2014,2628 HK,2.230104,21.2,0.8358,0.1849,15.5,27.939,523754.453,5.276,-0.125773196,40301020
01/30/2014,267 HK,0.225195,9.7,4.1237,NA,13.69,29.9,35399.6077,NA,-0.182124789,20105010
01/30/2014,27 HK,2.505863,76.3,NA,0.0021,84.5,35.831,322289.9706,NA,0.09705248,25301010
01/30/2014,291 HK,0.392441,21.174,1.2121,0.3129,-4.01,27.988,55520.9233,3.4743,-0.102910647,30201010
01/30/2014,293 HK,0.268604,16.1,0.8696,0.6524,14.5,24.363,63334.8884,4.136,-0.018292683,20302010
01/30/2014,3 HK,1.295743,9.922,2.0594,0.171,-17.99,17.065,152763.541,4.4886,-0.101268116,55102010
01/30/2014,322 HK,0.556572,20.1,1.2438,0.1048,6.24,28.167,112487.746,2.8623,-0.102678571,30202030
01/30/2014,3328 HK,0.624877,5.05,6.0057,NA,-2.35,24.346,366880.7454,21.3985,-0.07678245,40101010
01/30/2014,386 HK,2.228976,6.18,4.9969,0.3531,2.43,25.046,677906.4469,11.3628,-0.023696682,10102010
01/30/2014,388 HK,1.901516,121.9,2.6907,0.0535,-0.72,18.501,141588.6952,3.2428,-0.057231245,40203040
01/30/2014,3988 HK,3.694786,3.29,6.732,NA,0.67,23.879,904526.1201,21.837,-0.078431373,40101010
01/30/2014,4 HK,1.135153,19.905,8.5406,0.3632,-18.83,28.077,160596.7544,48.708,-0.10623681,60102010
01/30/2014,494 HK,0.893504,8.864,3.4972,0.1115,-5.68,32.285,90292.3031,6.4118,0.079922027,25203010
01/30/2014,5 HK,15.348794,80.95,4.6005,NA,-7.33,15.754,1524275.377,8.1111,-0.038027332,40101010
01/30/2014,6 HK,1.143345,58.3,4.2539,0.1609,-17.51,19.194,124427.4582,8.9801,-0.054339011,55101010
01/30/2014,66 HK,0.562534,27.45,2.878,0.199,-7.73,17.164,159169.9643,NA,-0.064735945,20304010
01/30/2014,688 HK,1.210216,20.7,2.029,0.3588,-5.09,29.152,171216.3096,13.6217,-0.038997214,60102030
01/30/2014,700 HK,8.584286,108.69,0.184,0.0197,44.9,28.841,1012057.242,1.9948,0.098866658,50203010
01/30/2014,762 HK,0.85898,10.22,1.486,0.46,-7.69,27.033,243049.7445,5.5079,-0.118965517,50101020
01/30/2014,83 HK,0.4363,10.32,4.845,0.158,-8.54,25.791,61725.9205,NA,-0.026415094,60102030
01/30/2014,836 HK,0.499074,18.42,2.8773,0.4758,-4.58,37.772,88258.6295,12.6323,0.002176279,55105010
01/30/2014,857 HK,2.239998,7.51,4.9298,0.258,-17.54,23.189,1722507.258,12.0889,-0.116470588,10102010
01/30/2014,883 HK,3.080097,12.2,4.6721,0.2833,-8.62,24.305,544698.9758,13.278,-0.153952843,10102020
01/30/2014,939 HK,6.411658,5.39,6.2929,NA,-6.19,25.26,1344272.671,20.5164,-0.078632479,40101010
01/30/2014,941 HK,6.313135,74.05,4.6914,0.0068,-11.07,16.085,1488593.018,10.4724,-0.0789801,50102010
01/30/2014,992 HK,0.96156,10.06,1.9881,0.0451,31.81,35.429,104644.2575,5.8452,0.066808059,45202030
01/30/2015,101 HK,0.628714,22.85,3.326,0.3365,-10.16,22.366,102489.3237,11.4324,0.050574713,60102010
01/30/2015,1044 HK,0.900746,89.194,2.0741,0.1811,-2.46,21.718,112949.4946,3.5227,0.13818669,30302010
01/30/2015,1088 HK,0.886057,21.25,5.34,0.1964,-0.33,26.085,461737.3944,11.5849,-0.074074074,10102050
01/30/2015,11 HK,1.274139,135.8,4.0501,NA,-0.33,11.235,259628.2486,5.8285,0.051083591,40101010
01/30/2015,1109 HK,0.497793,19.88,2.2586,0.4897,NA,36.363,129832.5913,11.4896,-0.027872861,60102030
